case_id,prefix,k,next_act
Case178,round-grinding---machine-3,0,round-grinding---machine-2
Case178,round-grinding---machine-3 round-grinding---machine-2,1,grinding-rework---machine-27
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27,2,grinding-rework---machine-27
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27,3,lapping---machine-1
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1,4,lapping---machine-1
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1,5,grinding-rework---machine-27
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27,6,other
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other,7,other
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other,8,other
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other,9,other
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other,10,other
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other,11,grinding-rework---machine-27
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27,12,grinding-rework---machine-27
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27,13,grinding-rework---machine-27
