case_id,prefix,k,time_passed,recent_time,latest_time,next_time
Case178,round-grinding---machine-3,0,0,0,0,0
Case178,round-grinding---machine-3 round-grinding---machine-2,1,0,0,0,9
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27,2,9,9,9,3
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27,3,12,13,3,0
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1,4,12,3,0,0
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1,5,12,0,0,0
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27,6,12,0,0,0
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other,7,12,0,0,0
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other,8,12,0,0,0
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other,9,12,0,0,0
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other,10,12,0,0,1
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other,11,13,2,1,1
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27,12,14,2,1,3
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27,13,17,4,3,1
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27,14,18,4,1,1
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27,15,19,2,1,3
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27,16,22,4,3,0
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27,17,22,4,0,10
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27,18,32,11,10,7
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27,19,39,17,7,20
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27,20,59,27,20,0
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27,21,59,20,0,0
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27,22,59,0,0,0
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27,23,59,0,0,0
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27,24,59,0,0,2
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27,25,61,2,2,0
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27,26,61,2,0,0
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27,27,61,0,0,0
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27,28,61,0,0,0
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 turning-&-milling-q.c.,29,61,0,0,1
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 turning-&-milling-q.c. lapping---machine-1,30,62,1,1,0
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 turning-&-milling-q.c. lapping---machine-1 laser-marking---machine-7,31,62,1,0,0
Case178,round-grinding---machine-3 round-grinding---machine-2 grinding-rework---machine-27 grinding-rework---machine-27 lapping---machine-1 lapping---machine-1 grinding-rework---machine-27 other other other other other grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 grinding-rework---machine-27 turning-&-milling-q.c. lapping---machine-1 laser-marking---machine-7 round-grinding---machine-3,32,62,0,0,0
