k,accuracy,fscore,precision,recall
0,0.8395196506550219,0.7933518945872087,0.8258322351289064,0.8395196506550219
1,0.7248908296943232,0.6323531111428219,0.5655226231021796,0.7248908296943232
2,0.8265895953757225,0.775586101354279,0.8042161627242426,0.8265895953757225
3,0.8207282913165266,0.7600960637586608,0.7824826900457152,0.8207282913165266
4,0.7588652482269503,0.6747938761538235,0.6152963838543035,0.7588652482269503
5,0.8260869565217391,0.7564194373401534,0.7091237912452942,0.8260869565217391
6,0.7575757575757576,0.6718975468975469,0.6198347107438016,0.7575757575757576
7,0.6153846153846154,0.5128205128205129,0.46153846153846156,0.6153846153846154
8,0.5714285714285714,0.4857142857142857,0.4642857142857143,0.5714285714285714
9,0.75,0.65,0.5833333333333333,0.75
10,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0
14,1.0,0.7260860691474411,0.7026221755001627,0.7909224596816022
