k,mean_absolute_error,mean_squared_error,root_mean_squared_error
0,3.7298908,44.799126,6.693215
1,4.470295,57.45423,7.579857
2,7.1949,105.48308,10.270495
3,2.457609,23.490656,4.846716
4,2.601592,25.998255,5.0988483
5,2.8017237,30.40296,5.513888
6,3.076645,31.75756,5.6353846
7,2.917794,29.78209,5.457297
8,3.9265337,37.884388,6.1550293
9,1.6398904,5.0873575,2.2555172
10,4.0949793,32.378075,5.6901736
11,2.0441234,6.4293256,2.5356114
12,0.96392685,0.929155,0.96392685
15,3.224608,33.221256,5.2843046
