k,accuracy,fscore,precision,recall
0,0.7560975609756098,0.754355400696864,0.7902439024390243,0.7560975609756098
1,0.7222222222222222,0.6553240740740741,0.6095679012345678,0.7222222222222222
2,0.5666666666666667,0.45444444444444443,0.38571428571428573,0.5666666666666667
3,0.6,0.5447619047619048,0.5426666666666666,0.6
4,0.8181818181818182,0.7603174603174604,0.7174242424242424,0.8181818181818182
5,0.5789473684210527,0.5265664160401002,0.5675438596491228,0.5789473684210527
6,0.5,0.4724867724867725,0.5046296296296295,0.5
7,0.6153846153846154,0.5897435897435896,0.5769230769230769,0.6153846153846154
8,0.6666666666666666,0.5851851851851851,0.537037037037037,0.6666666666666666
9,0.42857142857142855,0.38095238095238093,0.35714285714285715,0.42857142857142855
10,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
11,0.6666666666666666,0.611111111111111,0.5833333333333334,0.6666666666666666
12,0.5,0.5,0.5,0.5
13,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
14,1.0,1.0,1.0,1.0
15,0.0,0.0,0.0,0.0
77,0.0,0.5522030462383679,0.5420141745121152,0.5887128133597966
