k,accuracy,fscore,precision,recall
0,0.7289737654320988,0.6147049776413473,0.5314084189666555,0.7289737654320988
1,0.9104902477596205,0.8678325742060896,0.82899378561809,0.9104902477596205
2,0.8780039093940439,0.8213045560849167,0.8496638170338148,0.8780039093940439
3,0.9192323913960354,0.8832045770978112,0.8829015007687464,0.9192323913960354
4,0.9774852788361621,0.9714296162501562,0.9667267474443605,0.9774852788361621
5,0.8997214484679665,0.8904413448752235,0.9045939021130526,0.8997214484679665
6,0.8762886597938144,0.851735863465099,0.8488951937426082,0.8762886597938144
7,0.7012195121951219,0.5912768334636089,0.5267745465916197,0.7012195121951219
8,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0
19,1.0,0.9057456464427658,0.8962473695174342,0.930713450829679
